citing,cited,weight
Physics and Astronomy ,"Business, Management and Accounting ",386
Physics and Astronomy ,Psychology ,439
Energy ,Engineering ,24364
Energy ,Computer Science ,2745
Energy ,Energy ,19714
Energy ,Physics and Astronomy ,4595
Energy ,Social Sciences ,814
Energy ,Environmental Science ,11134
Energy ,Arts and Humanities ,61
Energy ,"Business, Management and Accounting ",660
Energy ,Decision Sciences ,490
Energy ,"Economics, Econometrics and Finance ",696
Energy ,Multidisciplinary,1739
Energy ,Mathematics ,1543
Energy ,Chemistry ,10038
Energy ,Neuroscience ,50
Energy ,Materials Science ,10192
Energy ,Chemical Engineering ,5503
Energy ,Earth and Planetary Sciences ,4116
Energy ,Nursing ,56
Energy ,Medicine ,1850
Energy ,"Biochemistry, Genetics and Molecular Biology ",939
Energy ,Agricultural and Biological Sciences ,1622
Energy ,Immunology and Microbiology ,790
Energy ,Dentistry ,7
Energy ,"Pharmacology, Toxicology and Pharmaceutics ",157
Energy ,Psychology ,53
Energy ,Health Professions ,15
Energy ,Veterinary ,10
Decision Sciences ,Decision Sciences ,13418
Decision Sciences ,Nursing ,134
Decision Sciences ,Environmental Science ,1683
Decision Sciences ,Mathematics ,7401
Decision Sciences ,Medicine ,2204
Decision Sciences ,"Biochemistry, Genetics and Molecular Biology ",328
Decision Sciences ,Engineering ,5942
Decision Sciences ,Earth and Planetary Sciences ,437
Decision Sciences ,Multidisciplinary,841
Decision Sciences ,Health Professions ,230
Decision Sciences ,Computer Science ,5003
Decision Sciences ,"Economics, Econometrics and Finance ",6167
Decision Sciences ,Social Sciences ,4164
Decision Sciences ,Psychology ,635
Decision Sciences ,Agricultural and Biological Sciences ,269
Decision Sciences ,Physics and Astronomy ,2356
Decision Sciences ,"Pharmacology, Toxicology and Pharmaceutics ",47
Decision Sciences ,Immunology and Microbiology ,24
Decision Sciences ,Arts and Humanities ,240
Decision Sciences ,"Business, Management and Accounting ",7340
Decision Sciences ,Neuroscience ,204
Decision Sciences ,Chemistry ,184
Decision Sciences ,Energy ,412
Decision Sciences ,Materials Science ,114
Decision Sciences ,Chemical Engineering ,53
Decision Sciences ,Veterinary ,3
Decision Sciences ,Dentistry ,14
Immunology and Microbiology ,Medicine ,62285
Immunology and Microbiology ,"Biochemistry, Genetics and Molecular Biology ",52835
Immunology and Microbiology ,Immunology and Microbiology ,45521
Immunology and Microbiology ,"Pharmacology, Toxicology and Pharmaceutics ",4603
Immunology and Microbiology ,Environmental Science ,7134
Immunology and Microbiology ,Multidisciplinary,23377
Immunology and Microbiology ,Physics and Astronomy ,2571
Immunology and Microbiology ,Health Professions ,498
Immunology and Microbiology ,Computer Science ,318
Immunology and Microbiology ,Decision Sciences ,109
Immunology and Microbiology ,Nursing ,1112
Immunology and Microbiology ,Neuroscience ,6748
Immunology and Microbiology ,Psychology ,224
Immunology and Microbiology ,Arts and Humanities ,353
Immunology and Microbiology ,Mathematics ,1731
Immunology and Microbiology ,Agricultural and Biological Sciences ,13768
Immunology and Microbiology ,Dentistry ,865
Immunology and Microbiology ,Social Sciences ,315
Immunology and Microbiology ,Chemistry ,4028
Immunology and Microbiology ,"Economics, Econometrics and Finance ",60
Immunology and Microbiology ,Veterinary ,2314
Immunology and Microbiology ,Chemical Engineering ,1363
Immunology and Microbiology ,Earth and Planetary Sciences ,557
Immunology and Microbiology ,Engineering ,2927
Immunology and Microbiology ,Energy ,306
Immunology and Microbiology ,Materials Science ,1083
Immunology and Microbiology ,"Business, Management and Accounting ",62
Multidisciplinary,Medicine ,98921
Multidisciplinary,"Pharmacology, Toxicology and Pharmaceutics ",6618
Multidisciplinary,Environmental Science ,16282
Multidisciplinary,Multidisciplinary,44487
Multidisciplinary,Engineering ,16119
Multidisciplinary,Physics and Astronomy ,18440
Multidisciplinary,Chemical Engineering ,3957
Multidisciplinary,Materials Science ,7819
Multidisciplinary,Chemistry ,10673
Multidisciplinary,Immunology and Microbiology ,13355
Multidisciplinary,"Biochemistry, Genetics and Molecular Biology ",73356
Multidisciplinary,Agricultural and Biological Sciences ,33119
Multidisciplinary,Veterinary ,2238
Multidisciplinary,Nursing ,4341
Multidisciplinary,Mathematics ,7222
Multidisciplinary,Earth and Planetary Sciences ,13014
Multidisciplinary,Neuroscience ,21177
Multidisciplinary,Computer Science ,5480
Multidisciplinary,Decision Sciences ,1493
Multidisciplinary,Social Sciences ,5807
Multidisciplinary,"Business, Management and Accounting ",1601
Multidisciplinary,Arts and Humanities ,2197
Multidisciplinary,Energy ,1066
Multidisciplinary,Psychology ,4614
Multidisciplinary,Health Professions ,2509
Multidisciplinary,Dentistry ,1218
Multidisciplinary,"Economics, Econometrics and Finance ",1690
