citing,cited,weight
Agricultural and Biological Sciences ,Computer Science ,1316
Agricultural and Biological Sciences ,"Pharmacology, Toxicology and Pharmaceutics ",6514
Agricultural and Biological Sciences ,"Economics, Econometrics and Finance ",1512
Agricultural and Biological Sciences ,"Business, Management and Accounting ",1698
Agricultural and Biological Sciences ,Energy ,706
Agricultural and Biological Sciences ,Dentistry ,358
Agricultural and Biological Sciences ,Veterinary ,3726
Agricultural and Biological Sciences ,Chemical Engineering ,2771
Agricultural and Biological Sciences ,Health Professions ,1184
Agricultural and Biological Sciences ,Psychology ,1219
Earth and Planetary Sciences ,Earth and Planetary Sciences ,390189
Earth and Planetary Sciences ,Multidisciplinary,24135
Earth and Planetary Sciences ,Environmental Science ,35779
Earth and Planetary Sciences ,Social Sciences ,8620
Earth and Planetary Sciences ,Agricultural and Biological Sciences ,18699
Earth and Planetary Sciences ,Medicine ,4807
Earth and Planetary Sciences ,Computer Science ,5431
Earth and Planetary Sciences ,Physics and Astronomy ,15197
Earth and Planetary Sciences ,Chemistry ,5153
Earth and Planetary Sciences ,Engineering ,19004
Earth and Planetary Sciences ,Materials Science ,2772
Earth and Planetary Sciences ,Chemical Engineering ,1984
Earth and Planetary Sciences ,Mathematics ,4395
Earth and Planetary Sciences ,Arts and Humanities ,1233
Earth and Planetary Sciences ,"Biochemistry, Genetics and Molecular Biology ",1629
Earth and Planetary Sciences ,Decision Sciences ,1118
Earth and Planetary Sciences ,"Business, Management and Accounting ",1840
Earth and Planetary Sciences ,Nursing ,83
Earth and Planetary Sciences ,Energy ,2615
Earth and Planetary Sciences ,Psychology ,319
Earth and Planetary Sciences ,Neuroscience ,211
Earth and Planetary Sciences ,"Economics, Econometrics and Finance ",1277
Earth and Planetary Sciences ,"Pharmacology, Toxicology and Pharmaceutics ",234
Earth and Planetary Sciences ,Immunology and Microbiology ,588
Earth and Planetary Sciences ,Veterinary ,26
Earth and Planetary Sciences ,Health Professions ,73
Earth and Planetary Sciences ,Dentistry ,13
Social Sciences ,Social Sciences ,192670
Social Sciences ,"Business, Management and Accounting ",24167
Social Sciences ,Multidisciplinary,6050
Social Sciences ,Decision Sciences ,5713
Social Sciences ,"Economics, Econometrics and Finance ",20224
Social Sciences ,Environmental Science ,12995
Social Sciences ,Arts and Humanities ,23098
Social Sciences ,Medicine ,34691
Social Sciences ,"Biochemistry, Genetics and Molecular Biology ",2559
Social Sciences ,Computer Science ,9221
Social Sciences ,Engineering ,6449
Social Sciences ,Psychology ,24240
Social Sciences ,Neuroscience ,4893
Social Sciences ,Nursing ,3125
Social Sciences ,"Pharmacology, Toxicology and Pharmaceutics ",1143
Social Sciences ,Chemical Engineering ,424
Social Sciences ,Chemistry ,1712
Social Sciences ,Materials Science ,856
Social Sciences ,Mathematics ,3418
Social Sciences ,Physics and Astronomy ,1404
Social Sciences ,Health Professions ,2594
Social Sciences ,Earth and Planetary Sciences ,6882
